move_pkid;move_id;year;month;departure;arrival;from_id;to_id;from_name;to_name;from_type;to_type;vessel_id;vessel_name;vessel_type;dwt;time
311472;;1977;3;09/03/1977 00:00;09/03/1977 00:00;4700;1369;Jacksonville;San Juan(PRI);1;1;23534;Eastern Kin;fully cellular containership;9246;0
549743;;1977;3;09/03/1977 00:00;09/03/1977 00:00;2151;5493;Kobe;Osaka;1;1;46316;Ginter Star;fully cellular containership;5604;0
257611;;1977;3;09/03/1977 00:00;09/03/1977 00:00;830;1697;Rotterdam;Bremerhaven;1;1;17477;Nerd I;fully cellular containership;31814;0
141758;;1977;3;09/03/1977 00:00;09/03/1977 00:00;2594;854;Philadelphia;Baltimore;1;1;7210;Boston;fully cellular containership;9466;0
66659;;1977;3;09/03/1977 00:00;09/03/1977 00:00;3917;4572;Boston(USA);New York;1;1;2044;American Ace;fully cellular containership;15452;0
123445;;1977;3;09/03/1977 00:00;09/03/1977 00:00;311;238;Vancouver(CAN);Portland(OR USA);1;1;6046;Beishu Maru;fully cellular containership;24191;0
259961;;1977;3;09/03/1977 00:00;09/03/1977 00:00;889;2101;Fos;Barcelona;1;1;17757;Export Freedom;fully cellular containership;16605;0
549004;;1977;3;09/03/1977 00:00;09/03/1977 00:00;686;5891;Limassol;Haifa;1;1;46273;Alon;fully cellular containership;7234;0
96192;;1977;3;09/03/1977 00:00;09/03/1977 00:00;2151;3832;Kobe;Nagoya;1;1;4152;Asia Maru;fully cellular containership;24131;0
568345;;1977;3;09/03/1977 00:00;09/03/1977 00:00;2151;2842;Kobe;Yokohama;1;1;47701;Jefferson;fully cellular containership;23170;0
445823;;1977;3;09/03/1977 00:00;09/03/1977 00:00;4289;889;Leghorn;Fos;1;1;36144;Nymrod;fully cellular containership;2837;0
43524;;1977;3;10/03/1977 00:00;10/03/1977 00:00;4492;2145;London;Tyne;1;1;141;Discovery;fully cellular containership;28225;0
43846;;1977;3;10/03/1977 00:00;10/03/1977 00:00;5942;4572;Saint John(CAN);New York;1;1;146;Queensland Star;fully cellular containership;28037;0
794095;;1977;3;10/03/1977 00:00;10/03/1977 00:00;5196;3164;Manila;Hong Kong;1;1;73345;Kai Hang 6;fully cellular containership;6699;0
87170;;1977;3;10/03/1977 00:00;10/03/1977 00:00;4572;1369;New York;San Juan(PRI);1;1;3430;Arecibo;fully cellular containership;18172;0
502070;;1977;3;10/03/1977 00:00;10/03/1977 00:00;964;2561;Galveston;Hampton Roads;1;1;42470;Dragon Bintan;fully cellular containership;13337;0
465329;;1977;3;10/03/1977 00:00;10/03/1977 00:00;889;5521;Fos;Genoa;1;1;37565;MSC Luisa;fully cellular containership;26093;0
178555;;1977;3;10/03/1977 00:00;10/03/1977 00:00;830;576;Rotterdam;Antwerp;1;1;11770;Carmen Cara;fully cellular containership;39588;0
96194;;1977;3;10/03/1977 00:00;10/03/1977 00:00;593;5802;Shimizu;Tokyo;1;1;4152;Asia Maru;fully cellular containership;24131;0
565979;;1977;3;10/03/1977 00:00;10/03/1977 00:00;4489;2213;Seattle;Anchorage;1;1;47556;Portland;fully cellular containership;9858;0
302093;;1977;3;10/03/1977 00:00;10/03/1977 00:00;2151;3832;Kobe;Nagoya;1;1;22707;Kazukawa Maru;fully cellular containership;20658;0
341126;;1977;3;10/03/1977 00:00;10/03/1977 00:00;298;1369;Kingston(JAM);San Juan(PRI);1;1;25562;Houston;fully cellular containership;13259;0
796747;;1977;3;10/03/1977 00:00;10/03/1977 00:00;4489;4977;Seattle;Los Angeles;1;1;73612;Khudozhnik Ioganson;fully cellular containership;14490;0
568920;;1977;3;10/03/1977 00:00;10/03/1977 00:00;2151;2842;Kobe;Yokohama;1;1;47716;President Taft;fully cellular containership;17757;0
68326;;1977;3;10/03/1977 00:00;10/03/1977 00:00;3164;4593;Hong Kong;Keelung;1;1;2101;Wing Sing;fully cellular containership;2905;0
568565;;1977;3;10/03/1977 00:00;10/03/1977 00:00;3164;4593;Hong Kong;Keelung;1;1;47705;Howell Lykes;fully cellular containership;23212;0
504351;;1977;3;10/03/1977 00:00;10/03/1977 00:00;3832;2151;Nagoya;Kobe;1;1;42622;Kang;fully cellular containership;33287;0
273265;;1977;3;11/03/1977 00:00;11/03/1977 00:00;889;1675;Fos;Zeebrugge;1;1;20616;Flinders Bay;fully cellular containership;29260;0
120489;;1977;3;11/03/1977 00:00;11/03/1977 00:00;3241;909;Puerto Cortes;Gulfport;1;1;5661;Barranca;fully cellular containership;3480;0
120488;;1977;3;11/03/1977 00:00;11/03/1977 00:00;909;3241;Gulfport;Puerto Cortes;1;1;5661;Barranca;fully cellular containership;3480;0
445594;;1977;3;11/03/1977 00:00;11/03/1977 00:00;2954;100;Eastham;Manchester(GBR);1;1;36137;Char Che;fully cellular containership;12319;0
357518;;1977;3;11/03/1977 00:00;11/03/1977 00:00;1369;3705;San Juan(PRI);Santo Domingo;1;1;27006;Apple;fully cellular containership;2175;0
357519;;1977;3;11/03/1977 00:00;11/03/1977 00:00;3705;1369;Santo Domingo;San Juan(PRI);1;1;27006;Apple;fully cellular containership;2175;0
302094;;1977;3;11/03/1977 00:00;11/03/1977 00:00;3832;2842;Nagoya;Yokohama;1;1;22707;Kazukawa Maru;fully cellular containership;20658;0
481142;;1977;3;11/03/1977 00:00;11/03/1977 00:00;3164;1504;Hong Kong;Kaohsiung;1;1;41012;Mobile;fully cellular containership;9557;0
257612;;1977;3;11/03/1977 00:00;11/03/1977 00:00;1697;1995;Bremerhaven;Greenock;1;1;17477;Nerd I;fully cellular containership;31814;0
